kode,uraian,penjelasan,konteks,keywords,domain,activity,level,embedding_text
000.1.4,penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,Klasifikasi terkait penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya.,Digunakan untuk dokumen mengenai penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya.,"penggunaan, fasilitas, kantor, antara, lain, permintaan, dan, ruang, gedung, kendaraan",umum,umum,tersier,000.1.4 penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya klasifikasi terkait penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya. digunakan untuk dokumen mengenai penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya. penggunaan fasilitas kantor antara lain permintaan dan ruang gedung kendaraan umum umum
000.1.5,rapat pimpinan antara lain: notula atau risalah rapat,Klasifikasi terkait rapat pimpinan antara lain: notula atau risalah rapat.,Digunakan untuk dokumen mengenai rapat pimpinan antara lain: notula atau risalah rapat.,"rapat, pimpinan, antara, lain, notula, atau, risalah",umum,umum,tersier,000.1.5 rapat pimpinan antara lain notula atau risalah rapat klasifikasi terkait rapat pimpinan antara lain notula atau risalah rapat. digunakan untuk dokumen mengenai rapat pimpinan antara lain notula atau risalah rapat. rapat pimpinan antara lain notula atau risalah umum umum
000.1.6,penyediaan konsumsi,Klasifikasi terkait penyediaan konsumsi.,Digunakan untuk dokumen mengenai penyediaan konsumsi.,"penyediaan, konsumsi",umum,umum,tersier,000.1.6 penyediaan konsumsi klasifikasi terkait penyediaan konsumsi. digunakan untuk dokumen mengenai penyediaan konsumsi. penyediaan konsumsi umum umum
000.1.7,pengurusan kendaraan dinas,Klasifikasi terkait pengurusan kendaraan dinas.,Digunakan untuk dokumen mengenai pengurusan kendaraan dinas.,"pengurusan, kendaraan, dinas",umum,umum,tersier,000.1.7 pengurusan kendaraan dinas klasifikasi terkait pengurusan kendaraan dinas. digunakan untuk dokumen mengenai pengurusan kendaraan dinas. pengurusan kendaraan dinas umum umum
000.1.7.1,pengurusan surat-surat kendaraan dinas,Klasifikasi terkait pengurusan surat-surat kendaraan dinas.,Digunakan untuk dokumen mengenai pengurusan surat-surat kendaraan dinas.,"pengurusan, surat, kendaraan, dinas",kearsipan,surat menyurat,kuartier,000.1.7.1 pengurusan surat surat kendaraan dinas klasifikasi terkait pengurusan surat surat kendaraan dinas. digunakan untuk dokumen mengenai pengurusan surat surat kendaraan dinas. pengurusan surat kendaraan dinas kearsipan surat menyurat
000.1.7.2,pemeliharaan dan perbaikan,Klasifikasi terkait pemeliharaan dan perbaikan.,Digunakan untuk dokumen mengenai pemeliharaan dan perbaikan.,"pemeliharaan, dan, perbaikan",umum,umum,kuartier,000.1.7.2 pemeliharaan dan perbaikan klasifikasi terkait pemeliharaan dan perbaikan. digunakan untuk dokumen mengenai pemeliharaan dan perbaikan. pemeliharaan dan perbaikan umum umum
000.1.7.3,pengurusan kehilangan dan masalah kendaraan,Klasifikasi terkait pengurusan kehilangan dan masalah kendaraan.,Digunakan untuk dokumen mengenai pengurusan kehilangan dan masalah kendaraan.,"pengurusan, kehilangan, dan, masalah, kendaraan",umum,umum,kuartier,000.1.7.3 pengurusan kehilangan dan masalah kendaraan klasifikasi terkait pengurusan kehilangan dan masalah kendaraan. digunakan untuk dokumen mengenai pengurusan kehilangan dan masalah kendaraan. pengurusan kehilangan dan masalah kendaraan umum umum
000.1.8,pemeliharaan gedung taman dan peralatan kantor,Klasifikasi terkait pemeliharaan gedung taman dan peralatan kantor.,Digunakan untuk dokumen mengenai pemeliharaan gedung taman dan peralatan kantor.,"pemeliharaan, gedung, taman, dan, peralatan, kantor",umum,umum,tersier,000.1.8 pemeliharaan gedung taman dan peralatan kantor klasifikasi terkait pemeliharaan gedung taman dan peralatan kantor. digunakan untuk dokumen mengenai pemeliharaan gedung taman dan peralatan kantor. pemeliharaan gedung taman dan peralatan kantor umum umum
000.1.8.1,pertamanan atau landscape,Klasifikasi terkait pertamanan atau landscape.,Digunakan untuk dokumen mengenai pertamanan atau landscape.,"pertamanan, atau, landscape",umum,umum,kuartier,000.1.8.1 pertamanan atau landscape klasifikasi terkait pertamanan atau landscape. digunakan untuk dokumen mengenai pertamanan atau landscape. pertamanan atau landscape umum umum
000.1.8.2,penghijauan,Klasifikasi terkait penghijauan.,Digunakan untuk dokumen mengenai penghijauan.,penghijauan,umum,umum,kuartier,000.1.8.2 penghijauan klasifikasi terkait penghijauan. digunakan untuk dokumen mengenai penghijauan. penghijauan umum umum
000.1.8.3,perbaikan gedung,Klasifikasi terkait perbaikan gedung.,Digunakan untuk dokumen mengenai perbaikan gedung.,"perbaikan, gedung",umum,umum,kuartier,000.1.8.3 perbaikan gedung klasifikasi terkait perbaikan gedung. digunakan untuk dokumen mengenai perbaikan gedung. perbaikan gedung umum umum
000.1.8.4,perbaikan peralatan kantor,Klasifikasi terkait perbaikan peralatan kantor.,Digunakan untuk dokumen mengenai perbaikan peralatan kantor.,"perbaikan, peralatan, kantor",umum,umum,kuartier,000.1.8.4 perbaikan peralatan kantor klasifikasi terkait perbaikan peralatan kantor. digunakan untuk dokumen mengenai perbaikan peralatan kantor. perbaikan peralatan kantor umum umum
000.1.8.5,perbaikan rumah dinas atau wisma,Klasifikasi terkait perbaikan rumah dinas atau wisma.,Digunakan untuk dokumen mengenai perbaikan rumah dinas atau wisma.,"perbaikan, rumah, dinas, atau, wisma",umum,umum,kuartier,000.1.8.5 perbaikan rumah dinas atau wisma klasifikasi terkait perbaikan rumah dinas atau wisma. digunakan untuk dokumen mengenai perbaikan rumah dinas atau wisma. perbaikan rumah dinas atau wisma umum umum
000.1.8.6,kebersihan gedung dan taman,Klasifikasi terkait kebersihan gedung dan taman.,Digunakan untuk dokumen mengenai kebersihan gedung dan taman.,"kebersihan, gedung, dan, taman",umum,umum,kuartier,000.1.8.6 kebersihan gedung dan taman klasifikasi terkait kebersihan gedung dan taman. digunakan untuk dokumen mengenai kebersihan gedung dan taman. kebersihan gedung dan taman umum umum
000.1.9,"pengelolaan jaringan listrik, air, telepon dan komputer","Klasifikasi terkait pengelolaan jaringan listrik, air, telepon dan komputer.","Digunakan untuk dokumen mengenai pengelolaan jaringan listrik, air, telepon dan komputer.","pengelolaan, jaringan, listrik, air, telepon, dan, komputer",ti,umum,tersier,000.1.9 pengelolaan jaringan listrik air telepon dan komputer klasifikasi terkait pengelolaan jaringan listrik air telepon dan komputer. digunakan untuk dokumen mengenai pengelolaan jaringan listrik air telepon dan komputer. pengelolaan jaringan listrik air telepon dan komputer ti umum
000.1.9.1,perbaikan atau pemeliharaan,Klasifikasi terkait perbaikan atau pemeliharaan.,Digunakan untuk dokumen mengenai perbaikan atau pemeliharaan.,"perbaikan, atau, pemeliharaan",umum,umum,kuartier,000.1.9.1 perbaikan atau pemeliharaan klasifikasi terkait perbaikan atau pemeliharaan. digunakan untuk dokumen mengenai perbaikan atau pemeliharaan. perbaikan atau pemeliharaan umum umum
000.1.9.2,pemasangan,Klasifikasi terkait pemasangan.,Digunakan untuk dokumen mengenai pemasangan.,pemasangan,umum,umum,kuartier,000.1.9.2 pemasangan klasifikasi terkait pemasangan. digunakan untuk dokumen mengenai pemasangan. pemasangan umum umum
000.1.10,ketertiban dan keamanan,Klasifikasi terkait ketertiban dan keamanan.,Digunakan untuk dokumen mengenai ketertiban dan keamanan.,"ketertiban, dan, keamanan",umum,umum,tersier,000.1.10 ketertiban dan keamanan klasifikasi terkait ketertiban dan keamanan. digunakan untuk dokumen mengenai ketertiban dan keamanan. ketertiban dan keamanan umum umum
000.1.10.1,"pengamanan, penjagaan, dan pengawalan terhadap pejabat, kantor dan rumah dinas","Klasifikasi terkait pengamanan, penjagaan, dan pengawalan terhadap pejabat, kantor dan rumah dinas.","Digunakan untuk dokumen mengenai pengamanan, penjagaan, dan pengawalan terhadap pejabat, kantor dan rumah dinas.","pengamanan, penjagaan, dan, pengawalan, terhadap, pejabat, kantor, rumah, dinas",umum,umum,kuartier,000.1.10.1 pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas klasifikasi terkait pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas. digunakan untuk dokumen mengenai pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas. pengamanan penjagaan dan pengawalan terhadap pejabat kantor rumah dinas umum umum
000.1.10.2,laporan ketertiban dan keamanan,Klasifikasi terkait laporan ketertiban dan keamanan.,Digunakan untuk dokumen mengenai laporan ketertiban dan keamanan.,"laporan, ketertiban, dan, keamanan",umum,pelaporan,kuartier,000.1.10.2 laporan ketertiban dan keamanan klasifikasi terkait laporan ketertiban dan keamanan. digunakan untuk dokumen mengenai laporan ketertiban dan keamanan. laporan ketertiban dan keamanan umum pelaporan
000.1.11,administrasi pengelolaan parkir,Klasifikasi terkait administrasi pengelolaan parkir.,Digunakan untuk dokumen mengenai administrasi pengelolaan parkir.,"administrasi, pengelolaan, parkir",umum,umum,tersier,000.1.11 administrasi pengelolaan parkir klasifikasi terkait administrasi pengelolaan parkir. digunakan untuk dokumen mengenai administrasi pengelolaan parkir. administrasi pengelolaan parkir umum umum
000.1.12,"administrasi pakaian dinas pegawai, satpam, petugas  kebersihan dan pegawai lainnya","Klasifikasi terkait administrasi pakaian dinas pegawai, satpam, petugas  kebersihan dan pegawai lainnya.","Digunakan untuk dokumen mengenai administrasi pakaian dinas pegawai, satpam, petugas  kebersihan dan pegawai lainnya.","administrasi, pakaian, dinas, pegawai, satpam, petugas, kebersihan, dan, lainnya",kepegawaian,umum,tersier,000.1.12 administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya klasifikasi terkait administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya. digunakan untuk dokumen mengenai administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya. administrasi pakaian dinas pegawai satpam petugas kebersihan dan lainnya kepegawaian umum
000.2,perlengkapan,klasifikasi bidang perlengkapan yang mencakup pengelolaan,pengadaan,"perlengkapan, klasifikasi, bidang, yang, mencakup, pengelolaan, pengadaan",umum,umum,sekunder,000.2 perlengkapan klasifikasi bidang perlengkapan yang mencakup pengelolaan pengadaan perlengkapan klasifikasi bidang yang mencakup pengelolaan pengadaan umum umum
000.2.1,inventarisasi dan penyimpanan,Klasifikasi terkait inventarisasi dan penyimpanan.,Digunakan untuk dokumen mengenai inventarisasi dan penyimpanan.,"inventarisasi, dan, penyimpanan",umum,umum,tersier,000.2.1 inventarisasi dan penyimpanan klasifikasi terkait inventarisasi dan penyimpanan. digunakan untuk dokumen mengenai inventarisasi dan penyimpanan. inventarisasi dan penyimpanan umum umum
000.2.1.1,data hasil inventarisasi dan penyimpanan,Klasifikasi terkait data hasil inventarisasi dan penyimpanan.,Digunakan untuk dokumen mengenai data hasil inventarisasi dan penyimpanan.,"data, hasil, inventarisasi, dan, penyimpanan",umum,umum,kuartier,000.2.1.1 data hasil inventarisasi dan penyimpanan klasifikasi terkait data hasil inventarisasi dan penyimpanan. digunakan untuk dokumen mengenai data hasil inventarisasi dan penyimpanan. data hasil inventarisasi dan penyimpanan umum umum
000.2.1.2,laporan dan evaluasi inventarisasi dan penyimpanan,Klasifikasi terkait laporan dan evaluasi inventarisasi dan penyimpanan.,Digunakan untuk dokumen mengenai laporan dan evaluasi inventarisasi dan penyimpanan.,"laporan, dan, evaluasi, inventarisasi, penyimpanan",umum,pelaporan,kuartier,000.2.1.2 laporan dan evaluasi inventarisasi dan penyimpanan klasifikasi terkait laporan dan evaluasi inventarisasi dan penyimpanan. digunakan untuk dokumen mengenai laporan dan evaluasi inventarisasi dan penyimpanan. laporan dan evaluasi inventarisasi penyimpanan umum pelaporan
000.2.2,pemeliharaan peralatan kantor,Klasifikasi terkait pemeliharaan peralatan kantor.,Digunakan untuk dokumen mengenai pemeliharaan peralatan kantor.,"pemeliharaan, peralatan, kantor",umum,umum,tersier,000.2.2 pemeliharaan peralatan kantor klasifikasi terkait pemeliharaan peralatan kantor. digunakan untuk dokumen mengenai pemeliharaan peralatan kantor. pemeliharaan peralatan kantor umum umum
000.2.2.1,data hasil pemeliharaan kantor,Klasifikasi terkait data hasil pemeliharaan kantor.,Digunakan untuk dokumen mengenai data hasil pemeliharaan kantor.,"data, hasil, pemeliharaan, kantor",umum,umum,kuartier,000.2.2.1 data hasil pemeliharaan kantor klasifikasi terkait data hasil pemeliharaan kantor. digunakan untuk dokumen mengenai data hasil pemeliharaan kantor. data hasil pemeliharaan kantor umum umum
000.2.2.2,laporan dan evaluasi pemeliharaan kantor,Klasifikasi terkait laporan dan evaluasi pemeliharaan kantor.,Digunakan untuk dokumen mengenai laporan dan evaluasi pemeliharaan kantor.,"laporan, dan, evaluasi, pemeliharaan, kantor",umum,pelaporan,kuartier,000.2.2.2 laporan dan evaluasi pemeliharaan kantor klasifikasi terkait laporan dan evaluasi pemeliharaan kantor. digunakan untuk dokumen mengenai laporan dan evaluasi pemeliharaan kantor. laporan dan evaluasi pemeliharaan kantor umum pelaporan
000.2.3,distribusi,Klasifikasi terkait distribusi.,Digunakan untuk dokumen mengenai distribusi.,distribusi,umum,umum,tersier,000.2.3 distribusi klasifikasi terkait distribusi. digunakan untuk dokumen mengenai distribusi. distribusi umum umum
000.2.3.1,barang habis pakai,Klasifikasi terkait barang habis pakai.,Digunakan untuk dokumen mengenai barang habis pakai.,"barang, habis, pakai",umum,umum,kuartier,000.2.3.1 barang habis pakai klasifikasi terkait barang habis pakai. digunakan untuk dokumen mengenai barang habis pakai. barang habis pakai umum umum
000.2.3.2,barang milik daerah,Klasifikasi terkait barang milik daerah.,Digunakan untuk dokumen mengenai barang milik daerah.,"barang, milik, daerah",umum,umum,kuartier,000.2.3.2 barang milik daerah klasifikasi terkait barang milik daerah. digunakan untuk dokumen mengenai barang milik daerah. barang milik daerah umum umum
000.2.4,penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan,Klasifikasi terkait penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan.,Digunakan untuk dokumen mengenai penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan.,"penghapusan, barang, milik, daerah, antara, lain, keputusan, pembentukan, tim, berita",umum,umum,tersier,000.2.4 penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan klasifikasi terkait penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan. digunakan untuk dokumen mengenai penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan. penghapusan barang milik daerah antara lain keputusan pembentukan tim berita umum umum
000.2.5,pengelolaan database barang milik daerah,Klasifikasi terkait pengelolaan database barang milik daerah.,Digunakan untuk dokumen mengenai pengelolaan database barang milik daerah.,"pengelolaan, database, barang, milik, daerah",umum,umum,tersier,000.2.5 pengelolaan database barang milik daerah klasifikasi terkait pengelolaan database barang milik daerah. digunakan untuk dokumen mengenai pengelolaan database barang milik daerah. pengelolaan database barang milik daerah umum umum
000.3,pengadaan,kode klasifikasi untuk kegiatan pengadaan barang dan jasa pemerintah sesuai dengan pedoman tata naskah dinas,administrasi pengadaan barang dan jasa,"pengadaan, kode, klasifikasi, untuk, kegiatan, barang, dan, jasa, pemerintah, sesuai",umum,umum,sekunder,000.3 pengadaan kode klasifikasi untuk kegiatan pengadaan barang dan jasa pemerintah sesuai dengan pedoman tata naskah dinas administrasi pengadaan barang dan jasa pengadaan kode klasifikasi untuk kegiatan barang dan jasa pemerintah sesuai umum umum
000.3.1,"rencana pengadaan barang dan jasa, (antara lain: identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka acuan kerja (kak), pengumuman rencana umum pengadaan)","Klasifikasi terkait rencana pengadaan barang dan jasa, (antara lain: identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka acuan kerja (kak), pengumuman rencana umum pengadaan).","Digunakan untuk dokumen mengenai rencana pengadaan barang dan jasa, (antara lain: identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka acuan kerja (kak), pengumuman rencana umum pengadaan).","rencana, pengadaan, barang, dan, jasa, antara, lain, identifikasi, analisis, kebutuhan",umum,umum,tersier,000.3.1 rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan klasifikasi terkait rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan . digunakan untuk dokumen mengenai rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan . rencana pengadaan barang dan jasa antara lain identifikasi analisis kebutuhan umum umum
000.3.2,"pengadaan langsung (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak)","Klasifikasi terkait pengadaan langsung (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak).","Digunakan untuk dokumen mengenai pengadaan langsung (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak).","pengadaan, langsung, antara, lain, persiapan, pemilihan, penyedia, pelaksanaan, penandatanganan, kontrak",umum,umum,tersier,000.3.2 pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak klasifikasi terkait pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak . digunakan untuk dokumen mengenai pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak . pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan penandatanganan kontrak umum umum
000.3.3,"pengadaan tidak langsung/lelang (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak)","Klasifikasi terkait pengadaan tidak langsung/lelang (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak).","Digunakan untuk dokumen mengenai pengadaan tidak langsung/lelang (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak).","pengadaan, tidak, langsung, lelang, antara, lain, persiapan, pemilihan, penyedia, pelaksanaan",umum,umum,tersier,000.3.3 pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak klasifikasi terkait pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak . digunakan untuk dokumen mengenai pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak . pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan umum umum
000.3.4,swakelola (antara lain: perencanaan pelaksanaan dan evaluasi),Klasifikasi terkait swakelola (antara lain: perencanaan pelaksanaan dan evaluasi).,Digunakan untuk dokumen mengenai swakelola (antara lain: perencanaan pelaksanaan dan evaluasi).,"swakelola, antara, lain, perencanaan, pelaksanaan, dan, evaluasi",umum,umum,tersier,000.3.4 swakelola antara lain perencanaan pelaksanaan dan evaluasi klasifikasi terkait swakelola antara lain perencanaan pelaksanaan dan evaluasi . digunakan untuk dokumen mengenai swakelola antara lain perencanaan pelaksanaan dan evaluasi . swakelola antara lain perencanaan pelaksanaan dan evaluasi umum umum
000.3.5,"pengolahan sistem informasi pengadaan, (antara lain: data base pengguna sistem informasi pengadaan barang/jasa, data base kontrak, data base pengadaan barang/jasa)","Klasifikasi terkait pengolahan sistem informasi pengadaan, (antara lain: data base pengguna sistem informasi pengadaan barang/jasa, data base kontrak, data base pengadaan barang/jasa).","Digunakan untuk dokumen mengenai pengolahan sistem informasi pengadaan, (antara lain: data base pengguna sistem informasi pengadaan barang/jasa, data base kontrak, data base pengadaan barang/jasa).","pengolahan, sistem, informasi, pengadaan, antara, lain, data, base, pengguna, barang",umum,umum,tersier,000.3.5 pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa klasifikasi terkait pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa . digunakan untuk dokumen mengenai pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa . pengolahan sistem informasi pengadaan antara lain data base pengguna barang umum umum
000.3.6,"monitoring dan evaluasi, (antara lain: laporan hasil monitoring, laporan hasil evaluasi)","Klasifikasi terkait monitoring dan evaluasi, (antara lain: laporan hasil monitoring, laporan hasil evaluasi).","Digunakan untuk dokumen mengenai monitoring dan evaluasi, (antara lain: laporan hasil monitoring, laporan hasil evaluasi).","monitoring, dan, evaluasi, antara, lain, laporan, hasil",umum,pelaporan,tersier,000.3.6 monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi klasifikasi terkait monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi . digunakan untuk dokumen mengenai monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi . monitoring dan evaluasi antara lain laporan hasil umum pelaporan
000.4,perpustakaan,klasifikasi bidang perpustakaan,dokumentasi,"perpustakaan, klasifikasi, bidang, dokumentasi",umum,umum,sekunder,000.4 perpustakaan klasifikasi bidang perpustakaan dokumentasi perpustakaan klasifikasi bidang dokumentasi umum umum
